ground_truth,alt_best,alt_middle,alt_worst,score_best,score_middle,score_worst
That first pathway has a visual-tactile orientation. The other path is audiovocal.,The route of sign language tactile and visual orientation is parallel to the audiovocal route.  ,The directional path of sign language through sight and touch parallels audiovocal paths.  ,Orientation pathway in sign language occurs parallel to audio and vocal pathway.  ,0.41398245,0.34715715,0.23168132
"They talk about the superiority of vision, and the ""tyranny of the hegemony of sound"".",About seeing the superior vision of tyranny and hegemony and discussing the superior aspects of this area.  ,"It's about the vision of tyranny and hegemony that's superior, and discussing this in an area that is surprisingly superior.  ",Seeing visions of superior tyranny and hegemony opens up discussions in this exceptionally superior area.  ,0.34322044,0.250917,0.19482498
"Deaf people made progress with the growth of signing.  The progress could have been greater, but it wasn't permitted.","The progress of deaf people is visible, but they are not allowed to continue growing.  ","Deaf people's progress and growth are visible, but not fully allowed to expand further.  ","Deaf individuals have the ability to grow and progress, but face restrictions on further growth.  ",0.51811934,0.45109025,0.37453038
The Deaf experience has been shown to be really different. The Deaf experience the dominance of sound around them.,Different Deaf experiences clearly illustrate the actual dominance of noise.  ,"Deaf experiences highlight diverse perspectives, revealing the true dominance of noise.  ",Deaf experiences distinctly reveal the real superiority that noise claims.  ,0.58253044,0.43742958,0.36711115
It's possible to enable people to learn about different orientations.,They can arrange the learning pathway differently with the tools provided.  ,Can the pathway be learned in different orders with collective input?  ,Can the group rearrange learning this pathway into different orders?  ,0.37381592,0.27471268,0.2232796
The social institutions influence everything from medication to education. It would be possible to train people to learn to see things in a different way.,"The Social Institute of Medicine aims to practice and eventually learn more by adopting this pathway, making progress possible.  ","Social Institute Medicine intends to keep practicing, aiming to learn more in the future by adopting this new pathway and progressing.  ",Social Institute Medicine is hopeful to practice till they learn more through switching to this pathway and making progress.  ,0.26735103,0.23406233,0.16860905
Many colleagues in cultural and visual studies discuss the role of the senses in today's world.,Many students are enrolled in cultural studies and are discussing the role of senses in the present world.  ,A lot of educational institutions are now incorporating culture studies into discussions about senses in the current world.  ,There's a growing trend of cultural studies in schools where senses in the modern world are discussed.  ,0.67616105,0.5065109,0.43263152
The discussion so far then shows two different orientations - in relation to the development of language.,"So far, there have been discussions showing two different orientations in language development.","Up until now, discussions have shown two different orientations in language growth.",Discussing until now shows two different orientations from growing languages.,0.64676,0.55192894,0.48807585
"In the hierarchy of the senses, the visual is now placed above sound.","Also, the arrangement of sensory data clearly places visual above auditory input.  ","Also, the sense list order now shows that the seen is superior to the noise heard.  ","Additionally, today's ordered list truly distinguishes heard noise from seen sense.  ",0.5732666,0.4166294,0.2702074
"Often because judgments come from the audio-oral perspective, the sensory politics results in judgments of broken sounds and harsh noises, This needs to be improved.","Often, because the setup on this pathway is like a court setting, I break and hear the noise in politics and must gradually improve this pathway, which has a sensory aspect.  ","Due to the court-like setup of this pathway, I gradually notice and hear political noise that needs sensory enhancement.  ","Often, the setup of this pathway akin to a court leads me to hear, look at political noise, and work towards gradual enhancement.  ",0.26613227,0.21467975,0.153463
