experiment_type,method,metric,value,tie_breaking_strategy
pairwise,Baseline Pairwise,pairwise_accuracy,66.17%,
pairwise,Pairwise Majority Voting per Pair,pairwise_accuracy,71.33%,random
pairwise_to_triplet,Pairwise Majority per Pair -> Triplet,accuracy,39.00%,random
pairwise_to_triplet,Pairwise Majority per Pair -> Triplet,top1_accuracy,60.00%,random
pairwise,Pairwise Majority over Directions -> per Pair,pairwise_accuracy,66.33%,random
pairwise_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,accuracy,32.00%,random
pairwise_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,top1_accuracy,52.00%,random
pairwise_with_confidence,Baseline Pairwise,pairwise_accuracy,63.85%,
pairwise_with_confidence,Pairwise Majority Voting per Pair,pairwise_accuracy,68.67%,random
pairwise_with_confidence_to_triplet,Pairwise Majority per Pair -> Triplet,accuracy,34.00%,random
pairwise_with_confidence_to_triplet,Pairwise Majority per Pair -> Triplet,top1_accuracy,52.00%,random
pairwise_with_confidence,Pairwise Majority over Directions -> per Pair,pairwise_accuracy,64.33%,random
pairwise_with_confidence_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,accuracy,28.00%,random
pairwise_with_confidence_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,top1_accuracy,50.00%,random
pairwise_with_confidence,Pairwise Majority Voting per Pair,pairwise_accuracy,77.67%,confidence
pairwise_with_confidence_to_triplet,Pairwise Majority per Pair -> Triplet,accuracy,52.00%,confidence
pairwise_with_confidence_to_triplet,Pairwise Majority per Pair -> Triplet,top1_accuracy,67.00%,confidence
pairwise_with_confidence,Pairwise Majority over Directions -> per Pair,pairwise_accuracy,73.33%,confidence
pairwise_with_confidence_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,accuracy,45.00%,confidence
pairwise_with_confidence_to_triplet,Pairwise Majority over Directions -> per Pair -> Triplet,top1_accuracy,60.00%,confidence
